iso_code,continent,location,date,day,month,year,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate
AFG,Asia,Afghanistan,1/9/2022,1,9,2022,193520,270,221.857,7778,1,1,4826,6.733,5.533,193.968,0.025,0.025,1.03
AFG,Asia,Afghanistan,2/9/2022,2,9,2022,193520,0,221.857,7778,0,1,4826,0,5.533,193.968,0,0.025,1.03
AFG,Asia,Afghanistan,3/9/2022,3,9,2022,193912,392,277.857,7780,2,1.286,4835.776,9.776,6.929,194.018,0.05,0.032,1.03
AFG,Asia,Afghanistan,4/9/2022,4,9,2022,194163,251,242.857,7782,2,0.714,4842.035,6.259,6.056,194.067,0.05,0.018,1.02
AFG,Asia,Afghanistan,5/9/2022,5,9,2022,194355,192,207,7783,1,0.857,4846.823,4.788,5.162,194.092,0.025,0.021,1.02
AFG,Asia,Afghanistan,6/9/2022,6,9,2022,194614,259,230,7783,0,0.857,4853.282,6.459,5.736,194.092,0,0.021,1.01
AFG,Asia,Afghanistan,7/9/2022,7,9,2022,195012,398,251.714,7785,2,1.143,4863.207,9.925,6.277,194.142,0.05,0.029,1.01
AFG,Asia,Afghanistan,8/9/2022,8,9,2022,195298,286,254,7786,1,1.143,4870.34,7.132,6.334,194.167,0.025,0.029,1
AFG,Asia,Afghanistan,9/9/2022,9,9,2022,195471,173,278.714,7786,0,1.143,4874.654,4.314,6.951,194.167,0,0.029,1
AFG,Asia,Afghanistan,10/9/2022,10,9,2022,195631,160,245.571,7787,1,1,4878.644,3.99,6.124,194.192,0.025,0.025,0.99
AFG,Asia,Afghanistan,11/9/2022,11,9,2022,195925,294,251.714,7787,0,0.714,4885.976,7.332,6.277,194.192,0,0.018,0.98
AFG,Asia,Afghanistan,12/9/2022,12,9,2022,196182,257,261,7789,2,0.857,4892.385,6.409,6.509,194.242,0.05,0.021,0.98
AFG,Asia,Afghanistan,13/9/2022,13,9,2022,196404,222,255.714,7791,2,1.143,4897.921,5.536,6.377,194.292,0.05,0.029,0.97
AFG,Asia,Afghanistan,14/9/2022,14,9,2022,196751,347,248.429,7792,1,1,4906.575,8.653,6.195,194.317,0.025,0.025,0.96
AFG,Asia,Afghanistan,15/9/2022,15,9,2022,196870,119,224.571,7792,0,0.857,4909.542,2.968,5.6,194.317,0,0.021,0.95
AFG,Asia,Afghanistan,16/9/2022,16,9,2022,196992,122,217.286,7794,2,1.143,4912.585,3.042,5.419,194.367,0.05,0.029,0.95
AFG,Asia,Afghanistan,17/9/2022,17,9,2022,197066,74,205,7794,0,1,4914.43,1.845,5.112,194.367,0,0.025,0.95
AFG,Asia,Afghanistan,18/9/2022,18,9,2022,197240,174,187.857,7795,1,1.143,4918.769,4.339,4.685,194.392,0.025,0.029,0.94
AFG,Asia,Afghanistan,19/9/2022,19,9,2022,197434,194,178.857,7796,1,1,4923.607,4.838,4.46,194.417,0.025,0.025,0.94
AFG,Asia,Afghanistan,20/9/2022,20,9,2022,197608,174,172,7796,0,0.714,4927.946,4.339,4.289,194.417,0,0.018,0
AFG,Asia,Afghanistan,21/9/2022,21,9,2022,197788,180,148.143,7796,0,0.571,4932.435,4.489,3.694,194.417,0,0.014,0
AFG,Asia,Afghanistan,22/9/2022,22,9,2022,198023,235,164.714,7796,0,0.571,4938.296,5.86,4.108,194.417,0,0.014,0
AFG,Asia,Afghanistan,23/9/2022,23,9,2022,198163,140,167.286,7796,0,0.286,4941.787,3.491,4.172,194.417,0,0.007,0
AFG,Asia,Afghanistan,24/9/2022,24,9,2022,198244,81,168.286,7796,0,0.286,4943.807,2.02,4.197,194.417,0,0.007,0
OWID_AFR,,Africa,1/9/2022,1,9,2022,12326440,852,1264.857,256555,30,9.143,8852.694,0.612,0.908,184.255,0.022,0.007,0
OWID_AFR,,Africa,2/9/2022,2,9,2022,12327330,890,1131.571,256556,1,7.571,8853.333,0.639,0.813,184.255,0.001,0.005,0
OWID_AFR,,Africa,3/9/2022,3,9,2022,12327898,568,1137.571,256557,1,7.714,8853.741,0.408,0.817,184.256,0.001,0.006,0
OWID_AFR,,Africa,4/9/2022,4,9,2022,12328487,589,1178.714,256561,4,8.143,8854.164,0.423,0.847,184.259,0.003,0.006,0
OWID_AFR,,Africa,5/9/2022,5,9,2022,12331046,2559,1404.857,256567,6,8.571,8856.001,1.838,1.009,184.263,0.004,0.006,0
OWID_AFR,,Africa,6/9/2022,6,9,2022,12332598,1552,1108,256572,5,7.714,8857.116,1.115,0.796,184.267,0.004,0.006,0
OWID_AFR,,Africa,7/9/2022,7,9,2022,12333883,1285,1185,256596,24,10.143,8858.039,0.923,0.851,184.284,0.017,0.007,0
OWID_AFR,,Africa,8/9/2022,8,9,2022,12334688,805,1178.286,256605,9,7.143,8858.617,0.578,0.846,184.29,0.006,0.005,0
OWID_AFR,,Africa,9/9/2022,9,9,2022,12335875,1187,1220.714,256630,25,10.571,8859.47,0.852,0.877,184.308,0.018,0.008,0
OWID_AFR,,Africa,10/9/2022,10,9,2022,12336384,509,1212.286,256632,2,10.714,8859.835,0.366,0.871,184.31,0.001,0.008,0
OWID_AFR,,Africa,11/9/2022,11,9,2022,12336785,401,1185.429,256632,0,10.143,8860.123,0.288,0.851,184.31,0,0.007,0
OWID_AFR,,Africa,12/9/2022,12,9,2022,12338695,1910,1092.714,256635,3,9.714,8861.495,1.372,0.785,184.312,0.002,0.007,0
OWID_AFR,,Africa,13/9/2022,13,9,2022,12341454,2759,1265.143,256644,9,10.286,8863.476,1.981,0.909,184.318,0.006,0.007,0
OWID_AFR,,Africa,14/9/2022,14,9,2022,12342247,793,1194.857,256644,0,6.857,8864.046,0.57,0.858,184.318,0,0.005,0
OWID_AFR,,Africa,15/9/2022,15,9,2022,12343447,1200,1251.286,256662,18,8.143,8864.908,0.862,0.899,184.331,0.013,0.006,0
OWID_AFR,,Africa,16/9/2022,16,9,2022,12344111,664,1176.571,256664,2,4.857,8865.385,0.477,0.845,184.333,0.001,0.003,0
OWID_AFR,,Africa,17/9/2022,17,9,2022,12344773,662,1198.429,256667,3,5,8865.86,0.475,0.861,184.335,0.002,0.004,0
OWID_AFR,,Africa,18/9/2022,18,9,2022,12344936,163,1164.429,256668,1,5.143,8865.977,0.117,0.836,184.336,0.001,0.004,0
OWID_AFR,,Africa,19/9/2022,19,9,2022,12345821,885,1018,256689,21,7.714,8866.613,0.636,0.731,184.351,0.015,0.006,0
OWID_AFR,,Africa,20/9/2022,20,9,2022,12346438,617,712,256697,8,7.571,8867.056,0.443,0.511,184.357,0.006,0.005,0
OWID_AFR,,Africa,21/9/2022,21,9,2022,12347061,623,687.714,256721,24,11,8867.503,0.447,0.494,184.374,0.017,0.008,0
OWID_AFR,,Africa,22/9/2022,22,9,2022,12347950,889,643.286,256724,3,8.857,8868.142,0.638,0.462,184.376,0.002,0.006,0
OWID_AFR,,Africa,23/9/2022,23,9,2022,12348286,336,596.429,256726,2,8.857,8868.383,0.241,0.428,184.377,0.001,0.006,0
OWID_AFR,,Africa,24/9/2022,24,9,2022,12348495,209,531.714,256726,0,8.429,8868.533,0.15,0.382,184.377,0,0.006,0
ALB,Europe,Albania,1/9/2022,1,9,2022,329615,263,286.857,3583,1,0.571,115463.567,92.128,100.486,1255.119,0.35,0.2,0.63
ALB,Europe,Albania,2/9/2022,2,9,2022,329862,247,271.571,3583,0,0.429,115550.091,86.524,95.131,1255.119,0,0.15,0.62
ALB,Europe,Albania,3/9/2022,3,9,2022,330062,200,251.857,3583,0,0.286,115620.151,70.06,88.225,1255.119,0,0.1,0.61
ALB,Europe,Albania,4/9/2022,4,9,2022,330193,131,239.714,3583,0,0.286,115666.04,45.889,83.972,1255.119,0,0.1,0.61
ALB,Europe,Albania,5/9/2022,5,9,2022,330221,28,235.714,3583,0,0.286,115675.848,9.808,82.57,1255.119,0,0.1,0.6
ALB,Europe,Albania,6/9/2022,6,9,2022,330283,62,180.857,3583,0,0.143,115697.566,21.718,63.354,1255.119,0,0.05,0.59
ALB,Europe,Albania,7/9/2022,7,9,2022,330516,233,166.286,3584,1,0.286,115779.186,81.619,58.25,1255.469,0.35,0.1,0.59
ALB,Europe,Albania,8/9/2022,8,9,2022,330687,171,153.143,3584,0,0.143,115839.087,59.901,53.646,1255.469,0,0.05,0.58
ALB,Europe,Albania,9/9/2022,9,9,2022,330842,155,140,3584,0,0.143,115893.383,54.296,49.042,1255.469,0,0.05,0.58
ALB,Europe,Albania,10/9/2022,10,9,2022,330948,106,126.571,3584,0,0.143,115930.515,37.132,44.338,1255.469,0,0.05,0.58
ALB,Europe,Albania,11/9/2022,11,9,2022,331036,88,120.429,3584,0,0.143,115961.341,30.826,42.186,1255.469,0,0.05,0.58
ALB,Europe,Albania,12/9/2022,12,9,2022,331053,17,118.857,3585,1,0.286,115967.296,5.955,41.635,1255.819,0.35,0.1,0.58
ALB,Europe,Albania,13/9/2022,13,9,2022,331191,138,129.714,3586,1,0.429,116015.637,48.341,45.439,1256.17,0.35,0.15,0.58
ALB,Europe,Albania,14/9/2022,14,9,2022,331295,104,111.286,3586,0,0.286,116052.068,36.431,38.983,1256.17,0,0.1,0.57
ALB,Europe,Albania,15/9/2022,15,9,2022,331384,89,99.571,3586,0,0.286,116083.245,31.177,34.88,1256.17,0,0.1,0.57
ALB,Europe,Albania,16/9/2022,16,9,2022,331459,75,88.143,3586,0,0.286,116109.517,26.272,30.876,1256.17,0,0.1,0.57
ALB,Europe,Albania,17/9/2022,17,9,2022,331540,81,84.571,3586,0,0.286,116137.891,28.374,29.625,1256.17,0,0.1,0.57
ALB,Europe,Albania,18/9/2022,18,9,2022,331583,43,78.143,3586,0,0.286,116152.954,15.063,27.373,1256.17,0,0.1,0.57
ALB,Europe,Albania,19/9/2022,19,9,2022,331601,18,78.286,3588,2,0.429,116159.26,6.305,27.423,1256.87,0.701,0.15,0.58
ALB,Europe,Albania,20/9/2022,20,9,2022,331715,114,74.857,3589,1,0.429,116199.194,39.934,26.222,1257.221,0.35,0.15,0
ALB,Europe,Albania,21/9/2022,21,9,2022,331810,95,73.571,3589,0,0.429,116232.472,33.278,25.772,1257.221,0,0.15,0
